season,player,nationality,position_group,GK,RB,RWB,CB,LB,LWB,DM,CM,AM,RM,RW,LM,LW,ST,position_source,needs_review,notes
1993/94,Tommy Wright,NIR,Goalkeeper,true,false,false,false,false,false,false,false,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1993/94,Mike Hooper,ENG,Goalkeeper,true,false,false,false,false,false,false,false,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1993/94,Pavel Srnicek,CZE,Goalkeeper,true,false,false,false,false,false,false,false,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1993/94,Steve Harper,ENG,Goalkeeper,true,false,false,false,false,false,false,false,false,false,false,false,false,false,local_enhanced_player,false,
1993/94,John Beresford,ENG,Defender,false,false,false,false,true,false,false,false,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1993/94,Darren Peacock,ENG,Defender,false,false,false,true,false,false,false,false,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1993/94,Matthew Robinson,ENG,Defender,false,false,false,true,false,false,false,false,false,false,false,false,false,false,manual_position_override,false,
1993/94,Barry Venison,ENG,Defender,false,true,false,false,false,false,false,false,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1993/94,Alan Neilson,WAL,Defender,false,false,false,true,false,false,false,false,false,false,false,false,false,false,screenshot_nationality+local_enhanced_player,false,
1993/94,Steve Howey,ENG,Defender,false,false,false,true,false,false,false,false,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1993/94,Robbie Elliott,ENG,Defender,false,false,false,true,false,false,false,false,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1993/94,Chris Holland,ENG,Midfielder,false,false,false,false,false,false,false,true,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1993/94,Nicos Papavasiliou,CYP,Midfielder,false,false,false,false,false,false,false,true,false,false,false,false,false,false,manual_position_override,false,
1993/94,Matty Appleby,ENG,Midfielder,false,false,false,true,false,false,false,false,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1993/94,Scott Sellars,ENG,Midfielder,false,false,false,false,false,false,false,false,false,false,false,false,true,false,screenshot_nationality+local_enhanced_exact,false,
1993/94,Tony Dinning,ENG,Midfielder,false,false,false,false,false,false,false,true,false,false,false,false,false,false,manual_position_override,false,
1993/94,Steve Watson,ENG,Midfielder,false,false,false,true,false,false,false,false,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1993/94,Robert Lee,ENG,Midfielder,false,false,false,false,false,false,false,true,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1993/94,Paul Bracewell,ENG,Midfielder,false,false,false,false,false,false,false,true,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1993/94,Lee Clark,ENG,Midfielder,false,false,false,false,false,false,false,true,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1993/94,Michael Jeffrey,ENG,Forward,false,false,false,false,false,false,false,false,false,false,false,false,false,true,manual_position_override,false,
1993/94,Andrew Cole,ENG,Forward,false,false,false,false,false,false,false,false,false,false,false,false,false,true,screenshot_nationality+local_enhanced_exact,false,
1993/94,Alun Armstrong,ENG,Forward,false,false,false,false,false,false,false,false,false,false,false,false,false,true,manual_position_override,false,
1993/94,Peter Beardsley,ENG,Forward,false,false,false,false,false,false,false,false,true,false,false,true,false,false,screenshot_nationality+local_enhanced_exact,false,
1993/94,Malcolm Allen,WAL,Forward,false,false,false,false,false,false,false,true,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1993/94,Alex Mathie,SCO,Forward,false,false,false,false,false,false,false,false,false,false,false,false,false,true,screenshot_nationality+local_enhanced_exact,false,
1993/94,Ruel Fox,MSR,Forward,false,false,false,false,false,false,false,true,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1994/95,Mike Hooper,ENG,Goalkeeper,true,false,false,false,false,false,false,false,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1994/95,Pavel Srnicek,CZE,Goalkeeper,true,false,false,false,false,false,false,false,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1994/95,Steve Harper,ENG,Goalkeeper,true,false,false,false,false,false,false,false,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1994/95,Alan Neilson,WAL,Defender,false,false,false,true,false,false,false,false,false,false,false,false,false,false,screenshot_nationality+local_enhanced_player,false,
1994/95,Darren Peacock,ENG,Defender,false,false,false,true,false,false,false,false,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1994/95,John Beresford,ENG,Defender,false,false,false,false,true,false,false,false,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1994/95,Phillipe Albert,BEL,Defender,false,false,false,true,false,false,false,false,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1994/95,Steve Howey,ENG,Defender,false,false,false,true,false,false,false,false,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1994/95,Barry Venison,ENG,Defender,false,true,false,false,false,false,false,false,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1994/95,Matthew Robinson,ENG,Defender,false,false,false,true,false,false,false,false,false,false,false,false,false,false,manual_position_override,false,
1994/95,Marc Hottiger,SUI,Defender,false,false,false,true,false,false,false,false,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1994/95,Robbie Elliott,ENG,Defender,false,false,false,true,false,false,false,false,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1994/95,Scott Sellars,ENG,Midfielder,false,false,false,false,false,false,false,false,false,false,false,false,true,false,screenshot_nationality+local_enhanced_exact,false,
1994/95,Sam Aiston,ENG,Midfielder,false,false,false,false,false,false,false,true,false,false,false,false,false,false,manual_position_override,false,
1994/95,Paul Bracewell,ENG,Midfielder,false,false,false,false,false,false,false,true,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1994/95,Robert Lee,ENG,Midfielder,false,false,false,false,false,false,false,true,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1994/95,Steve Watson,ENG,Midfielder,false,false,false,true,false,false,false,false,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1994/95,Keith Gillespie,NIR,Midfielder,false,false,false,false,false,false,false,false,false,false,true,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1994/95,Chris Holland,ENG,Midfielder,false,false,false,false,false,false,false,true,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1994/95,Jimmy Crawford,ENG,Midfielder,false,false,false,false,false,false,false,true,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1994/95,Lee Clark,ENG,Midfielder,false,false,false,false,false,false,false,true,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1994/95,Paul Kitson,ENG,Forward,false,false,false,false,false,false,false,false,false,false,false,false,false,true,screenshot_nationality+local_enhanced_exact,false,
1994/95,Michael Jeffrey,ENG,Forward,false,false,false,false,false,false,false,false,false,false,false,false,false,true,manual_position_override,false,
1994/95,Peter Beardsley,ENG,Forward,false,false,false,false,false,false,false,false,true,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1994/95,Malcolm Allen,WAL,Forward,false,false,false,false,false,false,false,true,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1994/95,Ruel Fox,MSR,Forward,false,false,false,false,false,false,false,true,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1995/96,Shaka Hislop,TTO,Goalkeeper,true,false,false,false,false,false,false,false,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1995/96,Mike Hooper,ENG,Goalkeeper,true,false,false,false,false,false,false,false,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1995/96,Pavel Srnicek,CZE,Goalkeeper,true,false,false,false,false,false,false,false,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1995/96,Steve Harper,ENG,Goalkeeper,true,false,false,false,false,false,false,false,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1995/96,Steve Howey,ENG,Defender,false,false,false,true,false,false,false,false,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1995/96,John Beresford,ENG,Defender,false,false,false,false,true,false,false,false,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1995/96,Matthew Robinson,ENG,Defender,false,false,false,true,false,false,false,false,false,false,false,false,false,false,manual_position_override,false,
1995/96,Darren Peacock,ENG,Defender,false,false,false,true,false,false,false,false,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1995/96,Phillipe Albert,BEL,Defender,false,false,false,true,false,false,false,false,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1995/96,Stuart Elliott,ENG,Defender,false,false,false,false,false,false,false,true,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1995/96,Warren Barton,ENG,Defender,false,true,false,false,false,false,false,false,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1995/96,Robbie Elliott,ENG,Defender,false,false,false,true,false,false,false,false,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1995/96,Jimmy Crawford,ENG,Midfielder,false,false,false,false,false,false,false,true,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1995/96,Chris Holland,ENG,Midfielder,false,false,false,false,false,false,false,true,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1995/96,Robert Lee,ENG,Midfielder,false,false,false,false,false,false,false,true,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1995/96,Steve Watson,ENG,Midfielder,false,false,false,true,false,false,false,false,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1995/96,David Batty,ENG,Midfielder,false,false,false,false,false,false,false,true,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1995/96,Keith Gillespie,NIR,Midfielder,false,false,false,false,false,false,false,false,false,false,true,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1995/96,Lee Clark,ENG,Midfielder,false,false,false,false,false,false,false,true,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1995/96,Darren Huckerby,ENG,Forward,false,false,false,false,false,false,false,false,false,false,false,false,false,true,screenshot_nationality+local_enhanced_exact,false,
1995/96,Les Ferdinand,ENG,Forward,false,false,false,false,false,false,false,false,false,false,false,false,false,true,screenshot_nationality+local_enhanced_exact,false,
1995/96,David Ginola,FRA,Forward,false,false,false,false,false,false,false,false,false,false,false,false,true,false,screenshot_nationality+local_enhanced_exact,false,
1995/96,Faustino Asprilla,COL,Forward,false,false,false,false,false,false,false,false,false,false,false,false,false,true,screenshot_nationality+local_enhanced_exact,false,
1995/96,Peter Beardsley,ENG,Forward,false,false,false,false,false,false,false,false,true,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1995/96,Paul Kitson,ENG,Forward,false,false,false,false,false,false,false,false,false,false,false,false,false,true,screenshot_nationality+local_enhanced_exact,false,
1995/96,Paul Brayson,ENG,Forward,false,false,false,false,false,false,false,false,false,false,false,false,false,true,screenshot_nationality+local_enhanced_exact,false,
1996/97,Shaka Hislop,TTO,Goalkeeper,true,false,false,false,false,false,false,false,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1996/97,Pavel Srnicek,CZE,Goalkeeper,true,false,false,false,false,false,false,false,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1996/97,Steve Harper,ENG,Goalkeeper,true,false,false,false,false,false,false,false,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1996/97,Warren Barton,ENG,Defender,false,true,false,false,false,false,false,false,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1996/97,John Beresford,ENG,Defender,false,false,false,false,true,false,false,false,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
